Type,stop_id,stop_name,stop_lat,stop_lon
Regional Bus,21465,Bunyip Primary School/Nar Nar Goon-Longwarry Rd (Bunyip),-38.098906597,145.714716604
Regional Bus,21466,Garfield Railway Station (Garfield),-38.091666221,145.675444797
Regional Bus,21612,The Avenue Motel/Sturt St (Alfredton),-37.548535652,143.801360144
Regional Bus,21613,Ranger Barracks/Sturt St (Alfredton),-37.546792343,143.797213854
Regional Bus,21706,Drouin Railway Station (Drouin),-38.135830378,145.855055215
Regional Bus,21708,Horsham Railway Station (Horsham),-36.707789818,142.200783557
Regional Bus,21710,Nowa Nowa/Princes Hwy (Nowa Nowa),-37.733903062,148.089190668
Regional Bus,22086,Falls Rd/Pack Rd (Marysville),-37.510883407,145.747135666
Regional Bus,22087,Buxton Rise/Maroondah Hwy (Buxton),-37.423151393,145.708796359
Regional Bus,22088,Buxton Rise/Maroondah Hwy (Buxton),-37.422125934,145.708983485
Regional Bus,22089,3321 Maroondah Hwy (Taggerty),-37.323563981,145.712105127
Regional Bus,22090,3313 Maroondah Hwy (Taggerty),-37.323873202,145.712359434
Regional Bus,22091,Perkins St/Grant St (Alexandra),-37.190961585,145.709077060
Regional Bus,22092,Taggerty-Thornton Rd/Goulburn Valley Hwy (Thornton),-37.254646366,145.797680120
Regional Bus,22093,Taggerty-Thornton Rd/Goulburn Valley Hwy (Thornton),-37.254744010,145.797531979
Regional Bus,22094,Eildon SC/Main St (Eildon),-37.232628779,145.909664454
Regional Bus,22194,3 Great Ocean Rd (Torquay),-38.339330923,144.310589219
Regional Bus,22318,Shell Rd/Grubb Rd (Ocean Grove),-38.256333532,144.535898188
Regional Bus,22364,Nar Nar Goon Railway Station (Nar Nar Goon),-38.082002824,145.570654374
Regional Bus,22365,Tynong Railway Station (Tynong),-38.085399525,145.629583641
Regional Bus,22474,Kilmore East Railway Station (Kilmore East),-37.293300718,144.983055953
Regional Bus,22613,Longerenong Rd/Henty Hwy (Dooen),-36.661141429,142.255096945
Regional Bus,22694,Corryong Newsagency/Murray Valley Hwy (Corryong),-36.196477078,147.903223410
Regional Bus,22695,Miners Rest Tavern/Howe St (Miners Rest),-37.481039674,143.801280368
Regional Bus,22697,Learmonth General Store/Sunraysia Hwy (Learmonth),-37.420756556,143.713779674
